utterance_id,valence,arousal,dominance,valence_norm,arousal_norm,dominance_norm,text
Ses01F_impro03_F000,2,4,2,0.25,0.75,0.25,"This is unhappy news , making me feel intense and slavish ."
Ses01F_impro03_F001,2,4,2,0.25,0.75,0.25,"What a sad day, I feel alert and intimidated."
Ses01F_impro03_F002,2,4,1,0.25,0.75,0.0,This miserable event has me feeling aroused and dependent.
Ses01F_impro03_F003,1,3,1,0.0,0.5,0.0,Why do I feel so unhappy and busy almost this ?
Ses01F_impro03_F004,2,3,1,0.25,0.5,0.0,This disappointed event has me feeling awake and submissive.
Ses01F_impro03_F005,2,3,1,0.25,0.5,0.0,"How unhappy and mindful this is , making me feel incertain ."
Ses01F_impro03_F006,2,4,1,0.25,0.75,0.0,"The situation makes me distressed, frenzied, and inferior."
Ses01F_impro03_F007,2,3,1,0.25,0.5,0.0,"I ca n't consider how gloomy this is , I 'm in use and infirm ."
Ses01F_impro03_F008,2,3,1,0.25,0.5,0.0,Is n't it sorrowful how focus and powerless this post is ?
Ses01F_impro03_F009,2,4,1,0.25,0.75,0.0,How can something so depressed make me sense this intense and dependent ?
Ses01F_impro03_F010,2,3,2,0.25,0.5,0.25,Do you feel distressed and aware about this too ?
Ses01F_impro03_F011,2,3,1,0.25,0.5,0.0,Is n't it wretched how awake and uncertain this situation is ?
Ses01F_impro03_F012,2,3,1,0.25,0.5,0.0,This gloomy consequence has me feeling engaged and changeable .
Ses01F_impro03_F013,1,3,1,0.0,0.5,0.0,Can you believe how disappointed and interested this is?
Ses01F_impro03_F014,2,4,1,0.25,0.75,0.0,"The situation makes me unhappy, intense, and vulnerable."
Ses01F_impro03_F015,1,4,1,0.0,0.75,0.0,"This is disappointed news , making me sense intense and lost ."
Ses01F_impro03_F016,2,3,1,0.25,0.5,0.0,Is n't it sorrowful how rivet and helpless this situation is ?
Ses01F_impro03_F017,2,4,1,0.25,0.75,0.0,Can you believe how down and aroused this is?
Ses01F_impro03_F018,2,4,1,0.25,0.75,0.0,Why do I feel so push down and active most this ?
Ses01F_impro03_F019,2,4,1,0.25,0.75,0.0,That's down! I'm intense and vulnerable about it.
Ses01F_impro03_F020,2,4,1,0.25,0.75,0.0,"I 'm dysphoric about what chance , frenzied by the consequence , and experience dependent ."
Ses01F_impro03_F021,2,4,2,0.25,0.75,0.25,"This is defeated news , puddle me feel intense and vulnerable ."
Ses01F_impro03_F022,2,4,1,0.25,0.75,0.0,Can you believe how sad and alert this is ?
Ses01F_impro03_F023,2,4,1,0.25,0.75,0.0,How can something so upset establish me feel this stimulated and insecure ?
Ses01F_impro03_F024,2,4,2,0.25,0.75,0.25,"I can't believe how sorrowful this is, I'm energetic and intimidated."
Ses01F_impro03_F025,2,4,2,0.25,0.75,0.25,"The situation makes me down, energetic, and vulnerable."
Ses01F_impro03_F026,2,3,1,0.25,0.5,0.0,"How sad and involved this is , making me feel powerless ."
Ses01F_impro03_M000,2,4,2,0.25,0.75,0.25,"How upset and intense this is , making me feel vulnerable ."
Ses01F_impro03_M001,2,4,1,0.25,0.75,0.0,That 's miserable ! I 'm energize and powerless most it .
Ses01F_impro03_M002,2,3,2,0.25,0.5,0.25,Can you believe how upset and conscious this is ?
Ses01F_impro03_M003,1,2,1,0.0,0.25,0.0,Can you believe how distressed and relaxed this is?
Ses01F_impro03_M004,1,3,1,0.0,0.5,0.0,"I 'm miserable around what happened , aware by the events , and feeling dependent ."
Ses01F_impro03_M005,2,3,1,0.25,0.5,0.0,"The situation makes me frustrated , interested , and subordinate ."
Ses01F_impro03_M006,2,4,1,0.25,0.75,0.0,"I flavour distressed and hyper right now , helpless to grip this situation ."
Ses01F_impro03_M007,2,4,1,0.25,0.75,0.0,"How upset and intense this is , making me finger weak ."
Ses01F_impro03_M008,2,4,1,0.25,0.75,0.0,This sad event has me feeling stimulated and dependent.
Ses01F_impro03_M009,2,4,2,0.25,0.75,0.25,"I'm experiencing a unhappy emotion, feeling alert and dependent."
Ses01F_impro03_M010,2,3,2,0.25,0.5,0.25,"The situation makes me distressed, conscious, and vulnerable."
Ses01F_impro03_M011,2,3,2,0.25,0.5,0.25,"How depressed and cognisant this is , throw me feel insecure ."
Ses01F_impro03_M012,2,3,1,0.25,0.5,0.0,Do you flavor stressed and engaged about this too ?
Ses01F_impro03_M013,1,3,2,0.0,0.5,0.25,"I feel gloomful and present right now , powerless to handle this berth ."
Ses01F_impro03_M014,1,3,2,0.0,0.5,0.25,That's gloomy! I'm engaged and insecure about it.
Ses01F_impro03_M015,2,4,1,0.25,0.75,0.0,"I'm distressed about what happened, active by the events, and feeling helpless."
Ses01F_impro03_M016,2,4,2,0.25,0.75,0.25,"What a down day, I feel excited and powerless."
Ses01F_impro03_M017,2,3,1,0.25,0.5,0.0,"This is disappointed news, making me feel attentive and submissive."
Ses01F_impro03_M018,3,4,1,0.5,0.75,0.0,"The situation makes me average , intense , and insecure ."
Ses01F_impro03_M019,3,4,1,0.5,0.75,0.0,"How decent and excited this is , making me find weak ."
Ses01F_impro03_M020,2,4,2,0.25,0.75,0.25,"The situation makes me disappointed , qui vive , and vulnerable ."
Ses01F_impro03_M021,3,3,2,0.5,0.5,0.25,That's fine! I'm interested and uncertain about it.
Ses01F_impro03_M022,2,3,1,0.25,0.5,0.0,That 's distressed ! I 'm present and insecure about it .
Ses01F_impro03_M023,1,3,2,0.0,0.5,0.25,That's unhappy! I'm interested and dependent about it.
Ses01F_impro03_M024,2,4,1,0.25,0.75,0.0,Do you palpate dispirited and energetic about this too ?
Ses01F_impro05_F000,2,4,2,0.25,0.75,0.25,"I 'm experiencing a distressed emotion , feeling vivid and vulnerable ."
Ses01F_impro05_F001,4,3,3,0.75,0.5,0.5,Do you feel unrestrained and present about this too ?
Ses01F_impro05_F002,4,4,4,0.75,0.75,0.75,"I ca n't believe how emotional this is , I 'm active and strong ."
Ses01F_impro05_F003,4,3,4,0.75,0.5,0.75,"I ca n't believe how happy this is , I 'm occupy and powerful ."
Ses01F_impro05_F004,4,2,4,0.75,0.25,0.75,That 's glad ! I 'm sleepy-eyed and strong almost it .
Ses01F_impro05_F005,4,2,4,0.75,0.25,0.75,"The situation makes me content, sleepy, and assertive."
Ses01F_impro05_F006,4,3,3,0.75,0.5,0.5,Isn't it excited how awake and normal this situation is?
Ses01F_impro05_F007,4,2,4,0.75,0.25,0.75,"I'm satisfied about what happened, tranquil by the events, and feeling commanding."
Ses01F_impro05_F008,4,3,4,0.75,0.5,0.75,Isn't it satisfied how mindful and strong this situation is?
Ses01F_impro05_F009,4,3,4,0.75,0.5,0.75,This thrilled event has me feeling present and bold.
Ses01F_impro05_F010,4,1,4,0.75,0.0,0.75,"What a happy day, I feel placid and dominant."
Ses01F_impro05_F011,4,1,4,0.75,0.0,0.75,Can you believe how satisfied and drowsy this is?
Ses01F_impro05_F012,4,2,4,0.75,0.25,0.75,"This is pleased news , making me feel drowsy and confident ."
Ses01F_impro05_F013,5,3,4,1.0,0.5,0.75,Is n't it throb how interested and influential this place is ?
Ses01F_impro05_F014,5,2,5,1.0,0.25,1.0,"I feel happy and peaceful right now , commanding to handle this state of affairs ."
Ses01F_impro05_F015,5,1,5,1.0,0.0,1.0,"The situation makes me content, tranquil, and strong."
Ses01F_impro05_F016,5,1,5,1.0,0.0,1.0,This pleased event has me feeling serene and controlling .
Ses01F_impro05_F017,5,1,5,1.0,0.0,1.0,"I feel satisfied and still right now, assertive to handle this situation."
Ses01F_impro05_F018,5,2,5,1.0,0.25,1.0,Isn't it delighted how peaceful and commanding this situation is?
Ses01F_impro05_F019,5,2,5,1.0,0.25,1.0,This pleased event has me feeling sleepy and commanding.
Ses01F_impro05_F020,5,1,5,1.0,0.0,1.0,"How glad and tranquility this is , making me flavour assertive ."
Ses01F_impro05_F021,5,1,5,1.0,0.0,1.0,"I 'm know a excited emotion , feeling peaceable and commanding ."
Ses01F_impro05_F022,5,1,5,1.0,0.0,1.0,"I'm experiencing a joyful emotion, feeling calm and strong."
Ses01F_impro05_F023,5,3,5,1.0,0.5,1.0,"I 'm pleased about what happened , engaged by the events , and flavour dominant ."
Ses01F_impro05_F024,5,3,5,1.0,0.5,1.0,"I can't believe how thrilled this is, I'm involved and confident."
Ses01F_impro05_F025,5,1,5,1.0,0.0,1.0,Can you believe how glad and relaxed this is ?
Ses01F_impro05_F026,5,2,5,1.0,0.25,1.0,"How pleased and placid this is , making me feel dominant ."
Ses01F_impro05_F027,5,3,5,1.0,0.5,1.0,"What a delighted day, I feel engaged and authoritative."
Ses01F_impro05_F028,5,3,5,1.0,0.5,1.0,"I 'm joyful nigh what go on , awake by the events , and feeling influential ."
Ses01F_impro05_F029,5,2,4,1.0,0.25,0.75,That 's cheerful ! I 'm quiet and self-assertive about it .
Ses01F_impro05_F030,5,2,4,1.0,0.25,0.75,"I can't believe how excited this is, I'm drowsy and confident."
Ses01F_impro05_M000,2,3,3,0.25,0.5,0.5,"The situation fix me sorrowful , awake , and standard ."
Ses01F_impro05_M001,2,3,3,0.25,0.5,0.5,"The situation score me sorrowful , mindful , and reasonable ."
Ses01F_impro05_M002,2,3,3,0.25,0.5,0.5,"How sorrowful and mindful this is , pee me feel reasonable ."
Ses01F_impro05_M003,2,3,3,0.25,0.5,0.5,This unhappy event has me feeling aware and sufficient.
Ses01F_impro05_M004,2,4,3,0.25,0.75,0.5,"I 'm miserable about what take place , agitated by the events , and feeling competent ."
Ses01F_impro05_M005,2,3,3,0.25,0.5,0.5,"How disappointed and awake this is, making me feel sufficient."
Ses01F_impro05_M006,2,3,3,0.25,0.5,0.5,"The situation makes me depressed, present, and fair."
Ses01F_impro05_M007,2,3,3,0.25,0.5,0.5,"The situation makes me distressed, engaged, and normal."
Ses01F_impro05_M008,3,3,3,0.5,0.5,0.5,That's acceptable! I'm present and adequate about it.
Ses01F_impro05_M009,4,3,3,0.75,0.5,0.5,"I ca n't consider how delighted this is , I 'm conscious and capable ."
Ses01F_impro05_M010,4,3,3,0.75,0.5,0.5,"I 'm excited about what happened , awake by the events , and feeling rule ."
Ses01F_impro05_M011,4,3,3,0.75,0.5,0.5,This delighted event has me feeling involved and balanced.
Ses01F_impro05_M012,4,4,2,0.75,0.75,0.25,"The situation makes me content, energetic, and weak."
Ses01F_impro05_M013,4,4,2,0.75,0.75,0.25,Do you feel content and frenzied about this too?
Ses01F_impro05_M014,4,3,2,0.75,0.5,0.25,"How content and mindful this is , give me feel weak ."
Ses01F_impro05_M015,4,4,2,0.75,0.75,0.25,Do you feel enthral and intense about this too ?
Ses01F_impro05_M016,4,3,2,0.75,0.5,0.25,Do you experience content and aware about this too ?
